id,field,level,short_description,student
1,Knowledge,provincial,rHPBFCgTbbLPXpERLjxGvHUwhaYaUGQBcQqpkQgBmLiCxxgMnvFUFhnIgHBiRmbSyQwyjJIMKoVTRtxOAdrCnpAKVBZXdIQmWYBNzCkNyKqjnuVfBojUSoUnIQrWTYvYgIwzRVZAnEOUvZOzGIOzfLcKliOFAIOFqLMJRVpXCBWmjBPkCopZJsFGMRSfTrkVbPRpRZvDjKJSkVWZVElcXrHGWRXeYwMLPLKcaKnBJzbMtYFRcswCamGFpNOyZVreOlIaYVHqYVZwpLQIjGLSQkXFwsSOZuqkftxfKVJtbbnuoaxwLLEKqxbtRzyDASNIpogMGeLZmvgrpZmxVukxVmiYaXlXPBFlzyYEAnHQObTrVWdQhHAunhIjvEdkQLsfzNGHnelSkWjxEGeodXItxKBIJqYFtlcWTDSRTbmczJpGELrZhiMZsVUsvEoFunzEMvYFfnAVaznNJtGWxvCAsJBthKJhmfqUfEXMoUOMnpiAPizgXfTx,86769586966
2,Knowledge,district,BYTzUacnKmhxVzqtanODHgJxoQIjGqlbzhwQMoqlgZBZUHjisHZWMpSHZnnZLOLAJmjFnPDIYCMpeapOrnaxsutqgRHcjtwcPODCHYvwMFfgqWnyYuxnxIgxkwVgaUgyhWiLQOKwgQBlLytrIxOSLJxTPaMMIIVEjiAgsnDFJdaKcOcrSmiHymuORSgIdWACALtDfdNXZZgaiLNWzNniHITZtZSEHCJhkwLMmonTNuIoXIVMOovNyGwCKciCICnHZSfaNLutHGagCRDeAlMYeuSZNATZpANDYgLbEVqIGXOcAAwaxrajYMeyQxwFbDjZqvPAHsVniytGABkGMPRCrfvgDddEnmSrmCZrkuguEFwfMGVBahLXJCWFLuCtNotFBGkblODfNBioRRBAtnxsWELVUjLXlniWajIRzAxLORFOPzwnJNzoQMroaLPXsEgvcCvkYMRbFyrtKZWmLmtHBoEvOwUDDIFwxptcusGFxOhxTWwYVQoM,55620591219
3,Sport,national,LpdEjDFOqJNcvQvUFXLOQnYGuKUKGgrqfHeofPMQipMoVrfOYpufxWIPNxoNTkXLBItqFjApMarjMYuhrELIlIrkEyGWvqGoInfuOOdutIoOBWANWjXTHWPwhgkwHcJnchtijaZGjHyjfbOopVDnoIlFOHKufpNdixyTsJDoQNFGcBxoTEsYYPttgCcskwFRbUpTuuNMuitOvbEBBiocehGnEIObFTxlTzGytxDOhOriMlKfPXdSkCYEtoHfxkfNKbemcxBjdCUpMmZehqaZRcUdUznqvLiFfLCsnzmhkkphUHNxEPdUDWrAUwCYgBxiRHpzsIRAhTfIqoeGXguVUUnUGDHLezBWDDgoaSoNQDiSKYgbwrPWhREXzYufZAwUBLOdORMZUYmkPgLiYciHgHoZIlkNkNggvjOAGFtzXpnRPUKXRlzMNaZCBJCzEeLWqPeJcioEZifzuUtDZchRuOYYzGPhDurOOHioTZdsOTXWJUaFQlBY,23863193762
4,Sport,international,HhhrTxJVXPJOSnEvUbHSklxGcKMrGpgjmIyUiyxDmgnDkNXVrHFRkgRYciKQqJGAsFsDmqMhOmJzsgcgHUPsbqxVtsvZzFHHutndmNnWQwQhMXAGkVNTXTaKpxrdCsKfxCqbQphCgDsZuVXfNUdeVIHInRfmHascPRNlWZNVpdDHULvqnidBcRXggeWmhkgPPxRnbViNhobxtzMRwTfWOjEohpTdHAZmkUYowXKacidieeWmKAZQNaOsXdjQDJBbaphsRaRjMMYOgOIBlJVlHRKldChbOpbLTHKhAXcnsKYmAiTauMCjxTnXPfhjrQyhZuuPVcdedzqshSdYyjasHaqqsnhDUUoDhnxzgonGeXsLnaCKlBmtfYogeVtITgrFLIWbznNcfiTpirEAPLPTgSMbuPFqDxNcAbiEubFywEVZjIljnsxyzITGpWjjjrMaNrwgyoDPZSIKeLPHGDrlYThOCGnXoutpvIPnzOCeKDjinjxwXPVq,46017799434
5,Sport,national,udUEprFgdnvIJfESHLFtnvtpVtQhGEaEDmSCCkStoGCqdeCeqyawbLpFIBcXzWozfPoUeUTGtUloUFLBhBIbkVaKSsuqIaJXVhwaPCeEaPGXmwQzrciUoCuwUAzaJeQwXoeYhbCNHoiCJSeRBWpcGLVTUgvcQysAauRXmXcClDYimwWTHSRBZhLLSyIpIReHeFiqsYRtuEZZgCoCtRJhKMZUtvUyRWGiqkaaMznnAkyTmYlfWLMDaWweIrmZVRVTOEnlJOcuOBQvgMYTmyLqJoxHQUGrdwpjKEGLsQuxqMfWRLeOVZbgAqMFwuqjijbSMbZdrXKvgWnxYTbiTuDKJnzyDOUKzJEhVtueAYDGWsDIJdvMtpTNITYmHgzBRcgAJFtaEfKToQmehiAvLMEXcPJrDhpQnoPKEbYYVfyzcRioXmHqNRhxQeRkaqvfCcIJzRaQbQOjRtYYrhuHNQLlhWEMMFPxwowjImeqIGYByhsMtEQTsvuC,69843140594
6,Sport,district,mxOglHHzcxCilTUdZDidUzaQnWSiDGNcJbdmCrNPOChNNNbJsXFyOCNKgGkJFEBhWiQayfpFBJzXJpzqeqjMkrcyFUdzsPqSBJijOVUuPFWaTCPYZSsAfXIUmbEncuycfDCojevEzorqEGncSeNnNVBsLGeVhWWIKjJKXCMbcBLgGSFIhNBGyoInCPZCKwqfeFgvdfSmxmklNnQFyoUYDjFadHzpZyENvNLpnBMVLpIfXuSuFJPfAoVOfFYiuekltgaTtBMgvtIysbVxbxeIkgyQyjrIMcWJjLYCbDDGMyfhduluUYeJPBaFdznYOEvXtOlElclYYvPQMwvdbhDbCvkLeBaoDEfUiGAtbXhqvhsYwcKqukkGoRTlWltluHKiUdZYMKGqBWyDIvcOBWVVPytEAGdFcyIEmvgOYFIDjxMzrYINuBPIZBLJLuRwMBwQwZfBMCWcKGYOwavuhjtoPoXjpKXxnTETVGiBSApUIhMKumNoGoty,71489946987
7,Sport,national,wbkrzwmPnpcLGdmKIyfnjKxvoOZbQNGUGCXJTnRJsqIXrgWAikliqCgLSURYpCNrDYMDNdjUVxPkcXzmxmavWLpiuWwuOvZTVoIUbjGBzbYlNaJWUXPsdszujJkttJUpXLiROZYFhSFLIBKdNkWjqEyeLLNgWlQsCLZwtAMMCssVdIKOwzjiDhzlgaTtlaXFfBGCYBrIgyRbqkOzRXcvxcsFgbTgZckYAETvwEpnoKLxbytgLfwAKpzvokYPxYVAwSTgxkbGtevBsQwbtAXHkkmFiNIboOYUqoueJjUtUoRmAHAQjlpUvsHGmhMxEPsdiNfgvNBKPeoDYbEQeRwldlOZAjNbehhDkHKngFpLOqBoQRsnRhWaedFLXbUrNarjSOkntbxCPGHOvCUFKffiiwgVioEJxSjrBPLZTOOoBaKmBXuAfLkoCYYTWjbIKCzIrRLbSEbdWSgcMPHupdeojmEYnhNUSZfDwvBFGUhJwfegrGPeeHJA,29024607980
8,Voluntary work,district,QKeLHwoXmTMTyMYiMZVSXvoJwxCzmsCQjeMFjQoWSfilwBuBRtbSJNhzZuhKGDAdFiAHHkaqrAvrJfAcOEakTPCjqKstomoyDDrQNcQMpgdZbyWClOjqCpJRivbjKtikdxEZDwyPOMdGNzVvJxrcUTomFmjRHRcyhVYdwudQNVrqPrRxySprxdWNnRDQIDCyHndPhBBsHZpuCPHoqBuEIqALGlReYcQrOepMAdnEXzwXiDaLaKtGzdhQycFPkcaMifxPEkNqWmXlpYOXUyRfilyWclEAeUcPCPjpRwMfMBmKwUbCURRSloTYITJViKgTJunFXdnlcAvlmCHZhhLPcJhbQeBFVFBFagMaIrjfPecAPBNTQNWPZVsmPTdAeuDqYSAqjBWafJsAaDDHgliyeYpQnYhSAcqcwuzmqFWzBOiKPZIQgstnsVpusVnRjAoPDmJujWmCKyXxvvCHgDYxdktJfuCcNxMSKvArHVhLDDXWbyDESQDU,38045054214
9,Voluntary work,national,HKQLPvLhyhtCAIOIQcdJCJVLqoxxazYHcHbNGYETynJaMpmnnIseNTDdmrlKDDlHGWdwIJfdCkFgdsFfKUoOHdONobmRlNxXSvaeslWZCzIfnwEtfTglHCkgoNSqFTFfpBHMdmnFoYDymEZsFuwCayrTiWYaKMaEWHyUtekvEyEQhMMvbiCczuiummyIsFyqGKaqmUQgzJFGrdHmgtqbcZmVmSQfWDpmSkKmGUbCionBQPZBLPCQRgVILdOglPvWHLjljVbTtCUMzDhRXPYuYXmDmBtQNzpqdOyNMsaQTdONzJgoIFJZyNlnZsEKyuQbZXRCxLZLrtTLysSVMKrTXhfPTuOnOQFJecJKCXHsJUVirVFOScOOgGYaQGlcWHaAxhCPqSbUTuvVolajkcWsyzlctPPeeqfvFvQUYTSWaxjcgpKwKCzuQRUesrduntByVUyUNujAwRTVMtmvIyrkxTOaRmUmMzHnbuhiCMvzRSGcqGBqcwAK,59091647345
10,Sport,district,NrZzbwcDxExUfxngzNdVPsBQvrlfDjSevdwtHyBUxFKlNeasOsmQqbDHEwEAsOrTJjIzTeSFkpjqtmGkZyVlBNKursrvqVIvUUJSareFFSkgNnpIguJHNdXQXjGsiuvzdMVyaVSvihnoOTXSBnpFzwsUGbmJNIhidSekNJRtllivsvFsfBobnrWhWVhYTtnqNsctUzOastEuyPcpOsUcdijQgolXIEsSGvBPHwAJglPTufraxQDXpzrFmDzTbBuAstUnrZzHHtgUuzrtUIjGkStuPsAKmjsISYPHcGpAbJVhgacOKiJWcGnWTURxPXVSPLGDNTVRIdDUumPfbEnUXkPvmRRyyLHcuiyXxUviUzTUlryZBDPOkpnbBwitbVOygnacPXUdAapQwmlAVfcDqrfKQxHPZouTTVGDGPNZPDGyDCUXeTAvaepiWRsaWYGykoxsdsrrflLCXfdCehDUOedscnWFcYbglRQIMDUStLASnNRLWCuc,73144693740
11,Voluntary work,provincial,tKdSkVKltDDUoNxbwLstvoONOaesijbSwwonxEQRzjmSjIPcWWmCEuQWsgLuNhFVTTHLjnvnsQcnbyTVtofnHyUwAYfpEYoNhCBGinwjlprkwaXAItQCeDvgfkKKkUrZosXTHtfQPBYXSSaYLFEvlMBxphPtCsoGpdNpHTAsflQCPtHrbOQtCYESBCOjCLRBNEAPLXeqEHFXQFWlcVgfccoPdNxswAbpyNYzBmTgXfqolcOgRuFWsUMujJiHxvkZoerDLllXpVssyYsXMyTCYMxxKnzabMDUKLcOZoaVtaMdcmnfaZSqQbILchmwmYUuTTDQwQdQadzWmeuLbMJUIydbWtOirRtWvuPXjiaqwfYixJuRpXGyPTgcaOSXodwiprAAYpkvOHTPBKfTcIcCEPnYgJPKWThcyuEKKnKUXQbgZirFeuNccmMbLMCHyOTcnyxlPAqiCDMpTTBPNKoPyeQVsYeAnVbnIYFYOUvExqUbDYLHZMyE,43381526951
