id,subject_name,percentage_result,centile_result,weight,student
1,Mathematics,86,72,0.08327660252322111,12518705264
2,Informatics,44,92,0.23845380066285105,12518705264
3,Foreign Language,72,13,0.4839551473225837,12518705264
4,Polish,91,35,0.7188801380558101,70299624046
5,Foreign Language,75,31,0.4214507000200448,70299624046
6,Geography,86,14,0.522630088881789,70299624046
7,Mathematics,7,25,0.3389238760218004,58667647909
8,Informatics,19,51,0.5301199722675406,58667647909
9,Geography,18,61,0.37537430535385286,58667647909
10,Informatics,84,24,0.8681347896302831,36180632799
11,Foreign Language,57,91,0.19523129315388454,36180632799
12,Biology,42,70,0.01990413632330712,36180632799
13,Informatics,70,83,0.485372788116319,67421531662
14,Foreign Language,68,24,0.16353055337017042,67421531662
15,Mathematics,76,31,0.9872063705134656,67421531662
16,Informatics,20,71,0.4367727036303758,86414399939
17,Foreign Language,46,84,0.27064186336534823,86414399939
18,Physics,95,60,0.8279637349301459,86414399939
19,Mathematics,46,58,0.5162793147806172,55415891861
20,Physics,7,100,0.5117148106469525,55415891861
21,Informatics,32,2,0.1405543497515429,55415891861
22,Informatics,71,52,0.4049084370134445,79681237224
23,Mathematics,35,90,0.23319500440445906,79681237224
24,Foreign Language,71,4,0.4438472696279372,79681237224
25,Mathematics,7,86,0.04065752409565082,84921216668
26,Polish,83,40,0.6085489914288309,84921216668
27,Foreign Language,11,53,0.38713592025617627,84921216668
28,Polish,9,93,0.8267011383699366,26138852239
29,Mathematics,90,40,0.42500044570935946,26138852239
30,Foreign Language,30,87,0.889329448562907,26138852239
31,Physics,60,68,0.6250344499045737,91901654643
32,Foreign Language,14,71,0.9307461684646652,91901654643
33,Informatics,77,45,0.8741639240159075,91901654643
34,History,47,56,0.49212211714348697,70476868171
35,Polish,3,8,0.5855013829713998,70476868171
36,Informatics,25,71,0.27442878151837136,70476868171
37,Polish,35,35,0.4968362677701369,39124629569
38,Foreign Language,61,92,0.9223601635613896,39124629569
39,Informatics,19,91,0.005635683622790877,39124629569
40,Mathematics,79,88,0.20575955509282506,58540258773
41,Physics,32,38,0.05741564132817656,58540258773
42,Informatics,2,98,0.09872415483660779,58540258773
43,Informatics,41,98,0.5446423411908666,58097387763
44,Mathematics,2,90,0.47277571114566885,58097387763
45,Geography,78,9,0.06631559924139863,58097387763
46,Mathematics,38,20,0.7929828760757988,56895511926
47,History,11,26,0.9649017729273149,56895511926
48,Geography,58,3,0.22338300161484248,56895511926
49,Foreign Language,19,54,0.5720294784979595,12361885727
50,Mathematics,40,12,0.0636549792142671,12361885727
51,Informatics,61,50,0.8768928752399675,12361885727
52,Geography,95,57,0.3442865693492022,50632336580
53,Mathematics,88,83,0.42459174261885324,50632336580
54,Foreign Language,1,91,0.8731806505041579,50632336580
55,Polish,97,52,0.43982375429744824,32733765325
56,Foreign Language,29,63,0.263248102674598,32733765325
57,History,50,78,0.7395789324005794,32733765325
58,Foreign Language,11,28,0.46076084200744916,62082482002
59,Mathematics,60,71,0.38268665016472103,62082482002
60,Informatics,92,47,0.9637630261032867,62082482002
61,Informatics,19,53,0.7673934248472895,10798148368
62,Mathematics,2,100,0.11802951925333671,10798148368
63,Foreign Language,46,46,0.04599111949107182,10798148368
64,Mathematics,92,68,0.5304957818284725,15197092399
65,Polish,52,89,0.09908013710675367,15197092399
66,Physics,14,11,0.354137579998984,15197092399
67,Mathematics,82,88,0.9112823531246496,17123076667
68,Foreign Language,82,96,0.41147752324120035,17123076667
69,Chemistry,85,61,0.03345767760307061,17123076667
70,Foreign Language,36,70,0.29367436656199897,53370067144
71,Informatics,31,56,0.4047565400383304,53370067144
72,Chemistry,92,12,0.5687485698871023,53370067144
73,Chemistry,86,5,0.33576414323894943,89407505688
74,Physics,6,57,0.654667752078241,89407505688
75,Biology,13,88,0.26953298449895224,89407505688
76,Foreign Language,1,93,0.7218453788582293,48108695984
77,Geography,57,25,0.40566564086884993,48108695984
78,Biology,10,79,0.9844946072672658,48108695984
79,Foreign Language,18,18,0.19636636507981298,73064067893
80,Informatics,92,97,0.13218640304527374,73064067893
81,Physics,50,93,0.24031791577794903,73064067893
82,Foreign Language,9,38,0.3789454467990907,91505276332
83,Mathematics,80,58,0.07986142068665758,91505276332
84,Physics,58,38,0.9780923484701322,91505276332
85,Chemistry,79,34,0.6200690406154954,75431314426
86,Mathematics,50,20,0.29615447001279027,75431314426
