PESEL,gender,name1,name2,surname,birth date,phone_number,email,school,previous_higher_education,voivodeship,city,street,number,zip-code
12518705264,M,Jack,Anthony,Curtis,1992-08-24,146012580,kingedward@reynolds.info,Technikum,0,lubelskie,Kevinchester,Thomas Glens,673,93411
70299624046,M,Jeremy,Michael,Wells,1969-01-29,995833175,hrobinson@payne-cole.com,Technikum,0,swietokrzyskie,North Robertburgh,Lawson Lane,636,70579
58667647909,M,Brent,Andrew,Williams,1971-05-12,890876346,glen18@hotmail.com,Liceum,0,malopolskie,Millerborough,Walker Flats,167,95935
36180632799,M,Craig,Michael,Brown,1965-10-15,643919359,muellerrebecca@cook.com,Liceum,0,lodzkie,Scotttown,Molly Springs,881,02278
67421531662,M,Steven,John,Villegas,1990-10-08,785210864,patriciaestrada@moreno.com,Technikum,0,malopolskie,South Jesse,Stephen Dam,234,11671
86414399939,F,Teresa,Roberta,Butler,1970-03-23,160990593,stephanieellis@hotmail.com,Liceum,0,malopolskie,North Stevenland,Schmidt Burgs,622,10930
55415891861,F,Laura,Julia,Phelps,1959-04-24,960579329,amccormick@gmail.com,Liceum,0,pomorskie,Oconnorport,Michelle Greens,216,40704
79681237224,F,Donna,Erika,Watson,1989-09-20,756118225,avilamaria@hotmail.com,Liceum,0,podlaskie,Brandyshire,Justin Falls,42,56078
84921216668,M,Matthew,James,Nelson,1982-12-17,413601777,candice17@carter-bradley.org,Technikum,0,slaskie,West Lisamouth,Kara Common,969,79701
26138852239,F,Rachel,Rachel,Owen,1996-06-05,766119645,hoganstephanie@hotmail.com,Liceum,0,podkarpackie,South Alyssaton,Welch Light,835,75625
91901654643,M,Steven,Erik,Tate,1998-02-09,136435627,paulshaw@yahoo.com,Technikum,1,slaskie,North Davidchester,Bond Parkway,1,27805
70476868171,F,Sheila,Jamie,Jordan,1960-05-12,195401640,cristian16@blackwell.com,Liceum,0,swietokrzyskie,Port Desireefurt,Henry Divide,258,17901
39124629569,F,Christine,Karen,Moss,1961-10-21,667218518,torresellen@martinez-wood.com,Liceum,0,dolnoslaskie,East Logan,Martinez Mission,465,23753
58540258773,M,Don,Casey,Trevino,1961-10-01,241973646,peterthomas@yahoo.com,Liceum,0,podkarpackie,South Tracyview,Angela Well,318,30394
58097387763,M,Ricky,Christopher,White,1989-06-07,207756878,oscarmoses@taylor.info,Liceum,1,podkarpackie,New Tiffany,Darryl Shoals,412,90640
56895511926,M,Jonathan,James,Frost,1959-06-09,313127316,nguyenwhitney@yahoo.com,Liceum,0,pomorskie,North Kaitlinberg,Lisa Lock,971,96669
12361885727,M,Thomas,Alexander,Mahoney,1999-11-09,360576840,thomassherman@hotmail.com,Liceum,1,zachodnio-pomorskie,Lake Jasmineborough,Mccarthy Prairie,814,03163
50632336580,M,Calvin,Michael,Bradford,1965-02-09,266588291,michaelconway@sims-jackson.com,Technikum,0,lubelskie,New Brian,Michael Islands,913,09662
32733765325,F,Paula,Stephanie,Nelson,1982-10-08,575216289,rebecca84@lam.net,Liceum,0,swietokrzyskie,Port Megan,Foley Island,445,15641
62082482002,M,Gerald,Dale,Daniels,1973-05-19,689330451,gibsonwilliam@brown.net,Technikum,0,pomorskie,East Brittany,David Square,193,92662
